id,timestamp,action,user_name,team,payload,status
a1b2c3d4-e5f6-7890-abcd-ef1234567890,2026-08-10T06:28:37.814Z,checkin,d-day@easygold.la,Agency,"{""date"":""2026-08-27T06:28:35.927Z"",""lat"":""17.9643"",""lng"":""102.6298"",""note"":""Dongdok Graduation Ceremony"",""team"":""Agency Team""}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567891,2026-08-10T06:29:38.442Z,submitResults,d-day@easygold.la,Agency,"{""date"":""2026-08-27"",""branch"":""Dongdok Graduation Ceremony"",""new_register"":500,""new_reg_purchased"":500,""buy_value_new"":500000000,""existing_users"":100,""buy_value_existing"":100000000,""footfall"":600,""step_in"":600,""merch_cost"":3560000,""merch_items"":[{""itemName"":""Mug"",""cpu"":40000,""qty"":50,""qtyNr"":50,""qtyEu"":0},{""itemName"":""Phone stand"",""cpu"":52000,""qty"":30,""qtyNr"":30,""qtyEu"":0}],""staff_in_charge"":[],""team"":""Agency Team"",""lat"":17.96429595847772,""lng"":102.62980754854716}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567892,2026-08-10T06:47:39.801Z,updateSubmission,d-day@easygold.la,Agency,"{""timestamp"":""2026-08-10T06:29:38.063Z"",""date"":"""",""team"":""Agency Team"",""branch"":""Dongdok Graduation Ceremony"",""new_register"":150,""new_reg_purchased"":150,""buy_value_new"":500000000,""existing_users"":244,""buy_value_existing"":100000000,""footfall"":600,""step_in"":600,""team_cost"":0,""merch_cost"":3560000,""merch_items"":[{""itemName"":""Mug"",""cpu"":40000,""qty"":50,""qtyNr"":50,""qtyEu"":0},{""itemName"":""Phone stand"",""cpu"":52000,""qty"":30,""qtyNr"":30,""qtyEu"":0}],""lat"":17.96429595847772,""lng"":102.62980754854716,""status"":""active"",""staff_in_charge"":[""? ?????? ??????? (????)""]}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567893,2026-08-10T06:53:57.011Z,updateSubmission,d-day@easygold.la,Agency,"{""timestamp"":""2026-08-10T04:09:31.409Z"",""date"":"""",""team"":""Agency Team"",""branch"":""Xokthavy Dongdok"",""new_register"":123,""new_reg_purchased"":123,""buy_value_new"":50000000,""existing_users"":200,""buy_value_existing"":200,""footfall"":500,""step_in"":300,""team_cost"":0,""merch_cost"":1240000,""merch_items"":[{""itemName"":""Umbrella"",""cpu"":84000,""qty"":10,""qtyNr"":10,""qtyEu"":0},{""itemName"":""Tote bag"",""cpu"":40000,""qty"":10,""qtyNr"":10,""qtyEu"":0}],""lat"":17.96429352245159,""lng"":102.62980278897476,""status"":""active"",""staff_in_charge"":[""? ?????? ??????? (????)""]}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567894,2026-08-10T06:56:22.386Z,updateSubmission,d-day@easygold.la,Agency,"{""timestamp"":""2026-08-10T06:29:38.063Z"",""date"":""2026-08-27"",""team"":""Agency Team"",""branch"":""Dongdok Graduation Ceremony"",""new_register"":100,""new_reg_purchased"":100,""buy_value_new"":500000000,""existing_users"":222,""buy_value_existing"":100000000,""footfall"":600,""step_in"":600,""team_cost"":0,""merch_cost"":3560000,""merch_items"":[{""itemName"":""Mug"",""cpu"":40000,""qty"":50,""qtyNr"":50,""qtyEu"":0},{""itemName"":""Phone stand"",""cpu"":52000,""qty"":30,""qtyNr"":30,""qtyEu"":0}],""lat"":17.96429595847772,""lng"":102.62980754854716,""status"":""active"",""staff_in_charge"":[""? ?????? ??????? (????)""]}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567895,2026-08-10T06:57:14.305Z,updateSubmission,d-day@easygold.la,Agency,"{""timestamp"":""2026-08-10T06:29:38.063Z"",""date"":""2026-08-27"",""team"":""Agency Team"",""branch"":""Dongdok Graduation Ceremony"",""new_register"":111,""new_reg_purchased"":111,""buy_value_new"":500000000,""existing_users"":222,""buy_value_existing"":100000000,""footfall"":600,""step_in"":600,""team_cost"":0,""merch_cost"":3560000,""merch_items"":[{""itemName"":""Mug"",""cpu"":40000,""qty"":50,""qtyNr"":50,""qtyEu"":0},{""itemName"":""Phone stand"",""cpu"":52000,""qty"":30,""qtyNr"":30,""qtyEu"":0}],""lat"":17.96429595847772,""lng"":102.62980754854716,""status"":""active"",""staff_in_charge"":[""? ?????? ??????? (????)""]}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567896,2026-08-10T07:51:17.654Z,checkin,d-day@easygold.la,Agency,"{""date"":""2026-08-26T07:51:16.780Z"",""lat"":""17.9643"",""lng"":""102.6298"",""note"":""Simeuang Commercial BUilding"",""team"":""Agency Team""}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567897,2026-08-10T07:51:50.166Z,submitResults,d-day@easygold.la,Agency,"{""date"":""2026-08-26"",""branch"":""Simeuang Commercial BUilding"",""new_register"":111,""new_reg_purchased"":111,""buy_value_new"":111000000,""existing_users"":123,""buy_value_existing"":123000000,""footfall"":500,""step_in"":500,""merch_cost"":840000,""merch_items"":[{""itemName"":""Umbrella"",""cpu"":84000,""qty"":10,""qtyNr"":10,""qtyEu"":0}],""staff_in_charge"":[],""team"":""Agency Team"",""lat"":17.964307653462352,""lng"":102.62983114919834}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567898,2026-08-10T07:52:23.887Z,checkin,d-day@easygold.la,Agency,"{""date"":""2026-08-25T07:52:22.630Z"",""lat"":""17.9643"",""lng"":""102.6298"",""note"":""NNN Building"",""team"":""Agency Team""}",SUCCESS
a1b2c3d4-e5f6-7890-abcd-ef1234567899,2026-08-10T07:52:59.991Z,submitResults,d-day@easygold.la,Agency,"{""date"":""2026-08-25"",""branch"":""NNN Building"",""new_register"":333,""new_reg_purchased"":333,""buy_value_new"":333000000,""existing_users"":100,""buy_value_existing"":100000000,""footfall"":600,""step_in"":600,""merch_cost"":2516000,""merch_items"":[{""itemName"":""Golf Umbrella"",""cpu"":251600,""qty"":10,""qtyNr"":10,""qtyEu"":0}],""staff_in_charge"":[],""team"":""Agency Team"",""lat"":17.964306485867006,""lng"":102.62982989920047}",SUCCESS
